type	id	component	installed	severity	fixed	relationship	presence	path	action	status	owner	due
GRYPE_SOURCE	GO-2026-4341	stdlib	go1.23.12	High	1.24.12|1.25.6	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4337	stdlib	go1.23.12	Critical	1.24.13|1.25.7|1.26.0-rc.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4981	stdlib	go1.23.12	High	1.25.10|1.26.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4977	stdlib	go1.23.12	High	1.25.10|1.26.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4986	stdlib	go1.23.12	High	1.25.10|1.26.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4918	stdlib	go1.23.12	High	1.25.10|1.26.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4601	stdlib	go1.23.12	High	1.25.8|1.26.1	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-5026	stdlib	go1.23.12	High	1.25.13|1.26.6|1.27.0-rc.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4870	stdlib	go1.23.12	High	1.25.9|1.26.2	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2025-4009	stdlib	go1.23.12	High	1.24.8|1.25.2	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4947	stdlib	go1.23.12	High	1.25.9|1.26.2	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2025-4006	stdlib	go1.23.12	High	1.24.8|1.25.2	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-5037	stdlib	go1.23.12	High	1.25.11|1.26.4	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-4971	stdlib	go1.23.12	High	1.25.10|1.26.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-5972	stdlib	go1.23.12	High	1.25.13|1.26.6|1.27.0-rc.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-6088	stdlib	go1.23.12	High	1.25.13|1.26.6|1.27.0-rc.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-6089	stdlib	go1.23.12	High	1.25.13|1.26.6|1.27.0-rc.3	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
GRYPE_SOURCE	GO-2026-5038	stdlib	go1.23.12	High	1.25.11|1.26.4	NOT_REPORTED	SOURCE_PRESENT_RUNTIME_REVIEW_REQUIRED	/forge-dashboard/node_modules/.pnpm/@esbuild+linux-x64@0.25.12/node_modules/@esbuild/linux-x64/bin/esbuild	OPEN_MANUAL_REVIEW_REQUIRED	OPEN_MANUAL_REVIEW_REQUIRED	OWNER_UNASSIGNED	DUE_DATE_OWNER_REQUIRED
