finding_number,check_id,severity,path,line_start,line_end,disposition,evidence_basis,owner,decision
1,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,15,15,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
2,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,17,17,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
3,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,21,21,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
4,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,43,43,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
5,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,131,131,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
6,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,133,133,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
7,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,162,162,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
8,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,191,191,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
9,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,194,194,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
10,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/ci.yml,227,227,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
11,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release-separation.yml,42,42,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
12,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,19,19,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
13,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,21,21,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
14,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,35,35,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
