id	rule	severity	confidence	file	line	details	status	rationale
R3A-034	G703	HIGH	HIGH	cmd/server/cli_runtime.go	914	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-035	G703	HIGH	HIGH	cmd/server/cli_runtime.go	883	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-036	G703	HIGH	HIGH	cmd/server/cli_runtime.go	880	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-037	G703	HIGH	HIGH	cmd/server/cli_runtime.go	768	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-038	G703	HIGH	HIGH	cmd/server/cli_runtime.go	744	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-039	G703	HIGH	HIGH	cmd/server/cli_runtime.go	741	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-040	G703	HIGH	HIGH	cmd/server/cli_runtime.go	731	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-041	G703	HIGH	HIGH	cmd/server/cli_runtime.go	692	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-042	G703	HIGH	HIGH	cmd/server/cli_runtime.go	594	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-043	G703	HIGH	HIGH	cmd/server/cli_runtime.go	591	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-044	G703	HIGH	HIGH	cmd/server/cli_runtime.go	581	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-045	G703	HIGH	HIGH	cmd/server/cli_runtime.go	457	Path traversal via taint analysis	NEEDS_MANUAL_REVIEW	CLI path is an explicit local operator argument; no new global allowlist or suppression added.
R3A-047	G122	HIGH	MEDIUM	cmd/server/cli_runtime.go	658	Filesystem operation in filepath.Walk/WalkDir callback uses race-prone path; consider root-scoped APIs (e.g. os.Root) to prevent symlink TOCTOU traversal	CORRECTED_AND_VERIFIED	addPathToTar now opens regular entries through os.Root; G122 after scan is zero.
R3A-053	G304	MEDIUM	HIGH	internal/workflow/engine.go	53	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-054	G304	MEDIUM	HIGH	internal/mcp/advanced_tools.go	481	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-055	G304	MEDIUM	HIGH	internal/fingerprint/pool.go	25	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-056	G304	MEDIUM	HIGH	internal/config/config.go	172	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-057	G304	MEDIUM	HIGH	internal/config/config.go	91	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-058	G304	MEDIUM	HIGH	internal/browser/launch_chromium.go	201	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-059	G304	MEDIUM	HIGH	internal/browser/download.go	532	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-060	G304	MEDIUM	HIGH	internal/browser/download.go	136	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-061	G304	MEDIUM	HIGH	internal/browser/archive_security.go	209	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-062	G304	MEDIUM	HIGH	internal/browser/archive_security.go	168	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-063	G304	MEDIUM	HIGH	internal/browser/archive_security.go	141	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-064	G304	MEDIUM	HIGH	internal/api/router.go	831	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-065	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	914	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-066	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	883	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-067	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	744	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
R3A-068	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	692	Potential file inclusion via variable	NEEDS_MANUAL_REVIEW	path is supplied by a runtime/config/CLI integration and requires component-level policy review; finding remains visible.
