R5_A_ID	STATUS	RULE	FILE	LINE	DETAILS	CONTROL_OR_REVIEW	EVIDENCE
R5-A-001	REMEDIATED_R5A	G304	internal/config/config.go	172	Potential file inclusion via variable	root-scoped open/read or marker refusal; regression passed	evidence/GOSEC_R5/gosec_source_only_baseline.json; evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-002	REMEDIATED_R5A	G304	internal/config/config.go	91	Potential file inclusion via variable	root-scoped open/read or marker refusal; regression passed	evidence/GOSEC_R5/gosec_source_only_baseline.json; evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-003	REMEDIATED_R5A	G304	internal/browser/download.go	573	Potential file inclusion via variable	root-scoped open/read or marker refusal; regression passed	evidence/GOSEC_R5/gosec_source_only_baseline.json; evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-004	OPEN_REVIEW	G115	internal/browser/launch_chromium.go	1019	integer overflow conversion int64 -> uint64	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-005	OPEN_REVIEW	G115	internal/browser/archive_security.go	252	integer overflow conversion int64 -> uint64	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-006	OPEN_REVIEW	G115	internal/browser/archive_security.go	210	integer overflow conversion int64 -> uint32	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-007	OPEN_REVIEW	G404	internal/humanize/mouse.go	89	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-008	OPEN_REVIEW	G404	internal/humanize/mouse.go	37	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-009	OPEN_REVIEW	G404	internal/humanize/mouse.go	36	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-010	OPEN_REVIEW	G404	internal/humanize/math.go	128	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-011	OPEN_REVIEW	G404	internal/humanize/math.go	120	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
