rule_id	severity	confidence	file	line	details
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/launch/id.go	56	integer overflow conversion uint64 -> byte
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/launch/id.go	55	integer overflow conversion uint64 -> byte
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/launch/id.go	53	integer overflow conversion uint64 -> byte
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/launch/id.go	50	integer overflow conversion uint64 -> byte
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/browser/launch_chromium.go	1015	integer overflow conversion int64 -> uint64
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/browser/download.go	628	integer overflow conversion int64 -> uint32
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/cmd/server/cli_runtime.go	694	integer overflow conversion int64 -> uint32
G115	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/cmd/server/cli_runtime.go	687	integer overflow conversion int64 -> uint32
G404	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/humanize/mouse.go	89	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
G404	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/humanize/mouse.go	37	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
G404	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/humanize/mouse.go	36	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
G404	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/humanize/math.go	128	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
G404	HIGH	MEDIUM	/home/ubuntu/forgelocal_self_validation_v6/operational_validation_v1/repo/internal/humanize/math.go	120	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)
